Unique id, Merchant Id, Merchant Name, Price, Transaction Date, Transaction Month, Transaction Year, Transaction Day, User Name, Category
1, 28, Solar Power, 114.0, 16, 04, 2014, Wednesday, david, Utilities
2, 26, Meta Electricals, 147.0, 16, 04, 2014, Wednesday, david, Utilities
3, 26, Meta Electricals, 78.0, 10, 03, 2014, Monday, david, Utilities
4, 26, Meta Electricals, 123.0, 11, 03, 2014, Tuesday, david, Utilities
5, 26, Meta Electricals, 58.0, 22, 01, 2014, Wednesday, david, Utilities
6, 28, Solar Power, 107.0, 07, 02, 2014, Friday, david, Utilities
7, 27, Zoom Water supply, 110.0, 03, 01, 2014, Friday, david, Utilities
8, 26, Meta Electricals, 118.0, 23, 12, 2013, Monday, david, Utilities
9, 28, Solar Power, 145.0, 02, 12, 2013, Monday, david, Utilities
10, 26, Meta Electricals, 102.0, 06, 12, 2013, Friday, david, Utilities
11, 26, Meta Electricals, 133.0, 12, 11, 2013, Tuesday, david, Utilities
12, 26, Meta Electricals, 88.0, 21, 10, 2013, Monday, david, Utilities
13, 27, Zoom Water supply, 57.0, 22, 09, 2013, Sunday, david, Utilities
14, 27, Zoom Water supply, 39.0, 05, 10, 2013, Saturday, david, Utilities
15, 28, Solar Power, 104.0, 23, 08, 2013, Friday, david, Utilities
16, 27, Zoom Water supply, 89.0, 28, 08, 2013, Wednesday, david, Utilities
17, 27, Zoom Water supply, 64.0, 21, 07, 2013, Sunday, david, Utilities
18, 27, Zoom Water supply, 83.0, 14, 08, 2013, Wednesday, david, Utilities
19, 26, Meta Electricals, 68.0, 13, 07, 2013, Saturday, david, Utilities
20, 26, Meta Electricals, 96.0, 12, 07, 2013, Friday, david, Utilities
21, 26, Meta Electricals, 117.0, 22, 05, 2013, Wednesday, david, Utilities
22, 28, Solar Power, 46.0, 30, 05, 2013, Thursday, david, Utilities
23, 26, Meta Electricals, 71.0, 27, 04, 2013, Saturday, david, Utilities
24, 26, Meta Electricals, 61.0, 19, 04, 2013, Friday, david, Utilities
25, 4, Mc Donalds, 14.0, 18, 05, 2013, Saturday, david, Food
26, 9, Nandoos, 15.0, 18, 06, 2013, Tuesday, david, Food
27, 5, Guzman and Gomez, 9.0, 27, 03, 2014, Thursday, david, Food
28, 3, KFC, 10.0, 27, 03, 2014, Thursday, david, Food
29, 3, KFC, 10.0, 29, 03, 2014, Saturday, david, Food
30, 5, Guzman and Gomez, 7.0, 12, 04, 2014, Saturday, david, Food
31, 9, Nandoos, 15.0, 31, 03, 2014, Monday, david, Food
32, 8, Kebab Factory, 10.0, 28, 03, 2014, Friday, david, Food
33, 9, Nandoos, 14.0, 02, 04, 2014, Wednesday, david, Food
34, 9, Nandoos, 7.0, 26, 03, 2014, Wednesday, david, Food
35, 5, Guzman and Gomez, 5.0, 05, 04, 2014, Saturday, david, Food
36, 9, Nandoos, 11.0, 26, 03, 2014, Wednesday, david, Food
37, 9, Nandoos, 13.0, 03, 04, 2014, Thursday, david, Food
38, 3, KFC, 12.0, 24, 03, 2014, Monday, david, Food
39, 6, Fantasia, 15.0, 21, 03, 2014, Friday, david, Food
40, 3, KFC, 6.0, 02, 04, 2014, Wednesday, david, Food
41, 9, Nandoos, 10.0, 13, 04, 2014, Sunday, david, Food
42, 4, Mc Donalds, 5.0, 27, 03, 2014, Thursday, david, Food
43, 7, Subway, 11.0, 10, 04, 2014, Thursday, david, Food
44, 6, Fantasia, 10.0, 28, 03, 2014, Friday, david, Food
45, 4, Mc Donalds, 5.0, 05, 04, 2014, Saturday, david, Food
46, 8, Kebab Factory, 15.0, 30, 03, 2014, Sunday, david, Food
47, 8, Kebab Factory, 7.0, 15, 04, 2014, Tuesday, david, Food
48, 5, Guzman and Gomez, 6.0, 01, 04, 2014, Tuesday, david, Food
49, 6, Fantasia, 12.0, 23, 03, 2014, Sunday, david, Food
50, 5, Guzman and Gomez, 14.0, 19, 03, 2014, Wednesday, david, Food
51, 7, Subway, 10.0, 10, 04, 2014, Thursday, david, Food
52, 3, KFC, 9.0, 30, 03, 2014, Sunday, david, Food
53, 6, Fantasia, 10.0, 01, 04, 2014, Tuesday, david, Food
54, 4, Mc Donalds, 11.0, 03, 04, 2014, Thursday, david, Food
55, 7, Subway, 11.0, 18, 03, 2014, Tuesday, david, Food
56, 3, KFC, 13.0, 03, 04, 2014, Thursday, david, Food
57, 8, Kebab Factory, 15.0, 18, 04, 2014, Friday, david, Food
58, 5, Guzman and Gomez, 15.0, 17, 04, 2014, Thursday, david, Food
59, 9, Nandoos, 13.0, 19, 03, 2014, Wednesday, david, Food
60, 8, Kebab Factory, 12.0, 08, 04, 2014, Tuesday, david, Food
61, 3, KFC, 15.0, 07, 04, 2014, Monday, david, Food
62, 4, Mc Donalds, 5.0, 30, 03, 2014, Sunday, david, Food
63, 5, Guzman and Gomez, 5.0, 03, 04, 2014, Thursday, david, Food
64, 4, Mc Donalds, 13.0, 14, 04, 2014, Monday, david, Food
65, 5, Guzman and Gomez, 8.0, 06, 04, 2014, Sunday, david, Food
66, 4, Mc Donalds, 6.0, 28, 03, 2014, Friday, david, Food
67, 4, Mc Donalds, 10.0, 29, 03, 2014, Saturday, david, Food
68, 8, Kebab Factory, 11.0, 30, 03, 2014, Sunday, david, Food
69, 6, Fantasia, 6.0, 13, 04, 2014, Sunday, david, Food
70, 5, Guzman and Gomez, 7.0, 08, 04, 2014, Tuesday, david, Food
71, 5, Guzman and Gomez, 9.0, 28, 03, 2014, Friday, david, Food
72, 7, Subway, 13.0, 13, 04, 2014, Sunday, david, Food
73, 7, Subway, 14.0, 30, 03, 2014, Sunday, david, Food
74, 4, Mc Donalds, 10.0, 06, 04, 2014, Sunday, david, Food
75, 9, Nandoos, 13.0, 23, 03, 2014, Sunday, david, Food
76, 9, Nandoos, 13.0, 25, 03, 2014, Tuesday, david, Food
77, 6, Fantasia, 12.0, 31, 03, 2014, Monday, david, Food
78, 7, Subway, 12.0, 21, 03, 2014, Friday, david, Food
79, 7, Subway, 10.0, 25, 03, 2014, Tuesday, david, Food
80, 6, Fantasia, 11.0, 19, 03, 2014, Wednesday, david, Food
81, 5, Guzman and Gomez, 8.0, 28, 03, 2014, Friday, david, Food
